-	p1	p10	p11	p12	p13	p14	p15	p16	p17	p19	p20	p21	p23	p24	p25	p29	p3	p30	p31	p32	p33	p35	p36	p37	p38	p39	p40	p41	p42	p44	p5	p7	p8
20141102LYNT031					+			+		+				+			+	+							+				+			+	+
20141102LYNT032					+			+		+				+			+	+							+				+			+	
20141102LYNT033					+					+				+			+	+				+			+				+			+	+
20141102ZMFT062												+										+			+				+			+	+
20141102ZMFT063						+																+			+							+	+
20141102ZMFT064						+																										+	+
20141102ZMFT071													+					+				+			+							+	+
20141103YXYT100				+																+		+							+			+	+
20141104CXDT001																		+						+								+	+
20141104CXDT002					+													+															
20141104CXDT003				+				+										+		+						+						+	+
20141104CXDT004				+				+				+						+														+	+
20141104CXDT005				+				+										+														+	+
20141104CXDT006		+		+				+				+						+				+				+						+	+
20141104WHHT087		+																				+			+							+	
20141104WHHT089		+							+											+		+			+							+	+
20141104WHHT091		+							+											+		+			+							+	
20141104WHHT093									+											+		+			+							+	
20141105YZT007												+						+			+				+	+					+	+	+
20141106LHMT102																		+				+			+							+	+
20141106LHMT107																		+				+			+				+			+	
20141106LHMT110																		+				+			+								
20141106LHMT111			+																	+		+										+	
20141106LHMT113																		+				+			+				+			+	+
20141106LHMT116																		+								+			+			+	+
20141106LHMT117																		+				+			+	+			+			+	+
20141106LHMT122		+																+				+			+	+			+			+	+
20141106LHMT126		+																+				+			+				+			+	+
20141106LHMT128		+																+				+			+								+
20141106LHMT129		+																+				+			+								
20141106LYNT007					+					+		+		+				+			+				+				+			+	
20141106LYNT018											+	+		+											+							+	+
20141106LYNT027					+					+				+				+			+	+			+							+	+
20141106LZLT073										+		+																				+	
20141106LZLT074												+													+							+	
20141106LZLT079			+							+		+		+					+						+							+	+
20141106LZLT081																									+				+		+	+	+
20141106LZLT083			+									+							+						+				+		+	+	+
20141106LZLT085																													+		+	+	+
20141106LZLT086			+									+							+						+							+	
20141106LZLT091												+																	+			+	+
20141106WST156																						+	+		+					+			
20141106WST157																						+	+		+							+	
20141106WST158																						+			+					+		+	
20141106WST159																						+	+		+								
20141106WST167			+																+			+										+	
20141106WST168																		+								+							
20141107YZT010																		+							+							+	
20141108CGT030																		+				+				+						+	
20141108CGT043														+				+				+				+						+	
20141108CGT044														+				+				+											
20141108CGT045												+		+				+				+											
20141108CGT046												+						+				+										+	
20141109CGT049						+						+						+			+	+			+							+	+
20141109CGT050						+						+		+				+				+						+				+	
20141109CGT052						+												+				+										+	+
20141109CGT053						+												+				+										+	
20141109CGT054						+												+			+	+			+							+	+
20141109CGT076												+						+								+						+	+
20141109CGT081												+						+														+	
20141109CGT082												+						+														+	+
20141110YXYT103	+							+					+									+	+									+	
20141111ZZDT042								+										+		+		+	+		+	+						+	+
20141114LHMT134		+																+				+			+							+	
20141114LHMT141																		+							+				+			+	+
20141114LHMT143																		+											+			+	+
20141114LHMT144																		+				+							+			+	+
20141115LYNT010											+	+		+				+			+	+			+							+	+
20141115LYNT015											+		+	+											+							+	+
20141115LYNT017											+	+	+	+								+			+							+	+
20141115LYNT091		+												+								+		+								+	+ 
20141116LYNT076													+					+			+	+										+	+ 
20141116LYNT077		+											+	+				+			+	+										+	+ 
20141124CGT113					+													+			+								+				
20141124CGT129														+								+										+	+
20141124DDDT204		+																			+				+		+					+	
20141124DDDT205			+		+				+	+			+					+	+						+	+							
20141125LYNT075		+											+	+				+			+	+										+	+
20141125LYNT078		+												+								+										+	+ 
20141126CLLT002													+					+				+										+	+
20141126CLLT005													+					+				+				+						+	+
20141126CLLT027	+																	+				+	+			+						+	+
20141126CLLT028	+													+								+	+		+							+	+
20141128CLLT035		+	+																	+					+	+							
20141128CLLT037			+																	+		+			+	+							+
20141128CLLT040		+	+																	+		+			+	+							
20141129CGT132									+					+				+				+			+							+	+
20141201CLLT051	+							+						+								+	+		+							+	+
20141201CLLT052								+													+	+			+							+	+
20141201CLLT053								+						+								+			+							+	+
20141201CLLT054								+						+							+				+							+	+
20141201CLLT055								+										+			+											+	+
20141201CLLT056								+													+											+	+
20141201CLLT057								+													+	+										+	+
20141201CLLT058								+														+										+	+
20141201CLLT061								+					+					+			+	+				+						+	+
20141201CLLT062								+										+			+	+										+	+
20141201CLLT065	+																				+	+										+	+
20141201CLLT070																+						+			+							+	+
20141201CLLT071														+		+						+			+							+	+
20141201CXDT007		+		+	+			+				+						+								+						+	+
20141201CXDT008		+		+								+																				+	+
20141201CXDT009		+		+				+				+						+								+						+	+
20141201CXDT010		+		+				+				+						+						+		+			+				+
20141201CXDT011										+																						+	+
20141201YZT031																		+		+	+				+	+						+	+
20141202CGP002							+			+												+										+	
20141202CGT137		+							+													+								+			
20141202CGT138		+																				+										+	
20141202CGT139		+			+																											+	
20141202CGT140		+			+				+													+										+	
20141202CGT141		+							+													+										+	
20141202CGT142		+					+			+												+							+			+	+
20141202CGT143		+					+																						+			+	+
20141202DDDNOO01		+					+			+												+											
20141202DDDNOO02							+			+								+				+											
20141203CLLT095			+																			+			+	+						+	
20141203CLLT103			+																			+			+	+							
20141203CLLT105			+																			+			+							+	
20141203CLLT106			+																			+	+		+	+			+				
20141204LYNT040																														+		+	+
20141204LYNT051																						+						+				+	
20141204LYNT056								+																						+			
20141205CLLT111	+																	+				+	+		+	+						+	+
20141205LYNT039			+																	+													
20141205LYNT041					+					+				+	+		+	+						+	+				+	+	+	+	+
20141205LYNT042					+					+					+			+	+						+				+	+		+	
20141205LYNT043					+					+				+	+		+	+ 	+					+	+				+	+	+	+	+
20141205LYNT044		+												+				 	+			+										+	+
20141205LYNT050			+									+													+	+		+			+	+	+
20141205LYNT058		+												+								+								+	+	+	
20141205WWHT001								+				+	+					+							+							+	
20141205WWHT005								+				+	+					+			+				+	+						+	+
20141205WWHT008								+				+	+					+			+	+			+	+						+	
20141205WWHT011								+				+	+					+			+					+						+	+
20141207WWHT017								+				+	+					+							+	+						+	+
20141207WWHT018								+				+	+					+			+					+						+	
20141207WWHT026								+				+	+					+			+	+			+	+						+	+
20141207WWHT036								+				+	+					+				+			+	+						+	+
20141207WWHT037								+					+					+			+	+			+	+						+	+
20141207WWHT038								+					+					+			+	+			+							+	+
20141207WWHT042								+					+					+				+			+							+	+
20141207WWHT043								+					+					+				+			+	+						+	+
20141207WWHT048								+										+							+							+	+
20141207WWHT049								+					+					+							+							+	+
20141207YZT026					+						+			+				+	+										+				
20141207YZT033									+									+		+						+						+	+
20141208CLLT128													+									+				+							
20141208CLLT129													+					+			+					+							
20141208CLLT131								+					+					+				+				+						+	+
20141208CLLT134																		+															
20141208CLLT136			+								+							+				+											
20141208CLLT137											+							+								+							
20141208CLLT138													+	+				+							+	+						+	
20141208CLLT142			+															+							+	+							
20141208CLLT143			+															+							+	+						+	
20141208CLLT146								+					+					+							+	+						+	
20141208CLLT148												+						+							+	+						+	+
20141208CLLT151			+															+							+	+							+
20141208CLLT153			+										+					+			+				+	+						+	
20141208CLLT154													+					+							+	+						+	
20141208CLLT157													+					+								+						+	+
20141208CLLT158													+					+					+			+						+	+
20141208CLLT161			+															+								+							+
20141208CLLT163	+																						+									+	+
20141208CLLT166			+																				+									+	+
20141208CLLT168			+																													+	+
20141208WWHT058								+										+														+	+
20141208WWHT060								+					+					+														+	+
20141208WWHT062								+					+					+			+											+	+
20141208WWHT069			+															+			+											+	+
20141209CLLT187			+											+				+							+							+	+
20141209CLLT191														+											+							+	
20141209CLLT194			+											+											+							+	
20141209CLLT196			+											+				+							+							+	
20141209CLLT200			+											+				+							+	+						+	+
20141209CLLT201								+						+				+							+	+						+	+
20141209CLLT202														+				+							+							+	
20141209CLLT206								+										+								+						+	
20141209CLLT208																		+		+						+						+	
20141209WWHT072												+	+					+			+												
20141209WWHT073								+				+						+			+					+							
20141209WWHT075													+					+							+	+						+	+
20141209WWHT076								+				+						+								+							
20141209WWHT077													+								+												
20141209WWHT078								+					+					+			+				+							+	+
20141210CLLT219																		+														+	
20141212WWHT079								+					+					+			+				+	+			+			+	+
20141212WWHT086								+					+					+							+	+						+	+
20141212WWHT087								+					+					+				+			+							+	
20141213WWHT080					+			+		+								+														+	
20141213WWHT083								+					+					+			+				+	+						+	+
20141214WWHT089								+										+								+						+	+
20141214ZZDT045								+					+					+		+	+	+	+		+	+						+	
20141214ZZDT046								+									+	+		+		+	+	+	+	+						+	
20141214ZZDT047			+																			+	+		+	+						+	+
20141214ZZDT048												+						+		+	+	+	+		+	+						+	+
20141214ZZDT050																		+		+		+	+		+	+						+	+
20141214ZZDT051								+				+								+		+	+		+	+						+	+
20141214ZZDT052								+					+					+		+		+	+		+	+						+	+
20141214ZZDT053								+				+						+		+	+	+	+		+	+						+	+
20141214ZZDT055								+	+			+		+				+		+		+				+						+	
20141214ZZDT057			+														+			+		+		+	+	+						+	+
20141214ZZDT058												+						+		+	+	+	+		+	+						+	
20141214ZZDT059																		+		+	+	+	+		+	+						+	+
20141214ZZDT061																		+		+	+	+	+		+	+						+	
20141214ZZDT065												+	+					+			+				+	+							
20141214ZZDT066			+														+					+		+	+	+							+
20141214ZZDT067								+					+					+		+	+	+	+		+	+						+	+
20141214ZZDT068													+					+		+	+	+	+		+	+						+	+
20141214ZZDT069			+						+								+	+				+		+	+	+							+
20141214ZZDT070								+										+		+		+	+		+							+	
20141214ZZDT071			+														+					+		+	+	+						+	+
20141215CXDT012		+		+				+				+						+			+			+								+	+
20141215CXDT013		+		+				+		+		+						+						+								+	+
20141215CXDT014		+		+				+				+						+			+											+	+
20141215CXDT015		+	+	+	+			+	+			+						+						+					+			+	+
20141215CXDT016		+		+	+			+				+						+			+					+						+	+
20141215CXDT017				+														+								+						+	+
20141215CXDT018		+		+	+			+										+			+					+						+	+
20141215CXDT019				+	+			+										+	+		+					+						+	+
20141215CXDT020				+						+										+		+				+						+	+
20141215CXDT021				+						+												+				+						+	+
20141215CXDT023				+						+										+		+				+			+				
20141215CXDT024										+											+	+				+							
20141215CXDT025										+										+		+				+							
20141215CXDT026				+						+										+		+				+							
20141215CXDT027				+				+										+			+					+							
20141215CXDT028				+	+			+		+								+			+	+				+							
20141216YZT035			+						+	+										+					+	+							
20141216YZT044																		+			+					+						+	+
20141216YZT045										+								+		+	+	+			+	+						+	+
20141217ZZDT073								+														+	+		+							+	
20141217ZZDT074								+												+		+	+		+							+	+
20141217ZZDT075			+					+					+							+	+	+	+		+							+	+
20141219CXDT029				+	+					+							+	+												+			
20141219CXDT030					+			+									+									+				+			
20141219CXDT032				+	+			+										+			+					+							
20141219LZLT121			+									+							+						+				+			+	+
20141219LZLT133			+														+			+				+									
20141219ZZDT076			+														+	+		+		+		+	+	+						+	+
20141219ZZDT077			+						+								+	+				+		+	+	+						+	+
20141220YZT054																		+		+	+					+						+	+
20141220YZT056																		+		+	+				+							+	+
20141227ZHT043																+		+				+	+			+						+	
20141227ZHT044																+		+					+			+						+	
20141227ZHT046																					+	+				+							
20141227ZHT048																+					+	+	+		+	+						+	+
20141227ZHT049																+					+		+		+	+						+	
20141227ZHT050													+			+		+			+		+		+	+						+	
20141227ZHT052																+							+		+							+	
20141227ZHT059													+									+			+	+			+			+	+
20141227ZHT063												+	+					+				+			+	+			+	+		+	+
20141227ZHT065												+										+			+				+	+		+	+
20141227ZHT068						+							+					+								+						+	
20141227ZHT077				+																			+		+				+			+	+
20141227ZHT078				+																			+		+							+	+
20141227ZHT080				+																			+		+	+						+	+
20141227ZHT085										+												+			+	+	+					+	+
